小区名称,房屋朝向,装修情况,供暖方式,户型结构,建筑类型,建筑结构,梯户比例,配备电梯,挂牌时间,上次交易,房屋年限,抵押信息,交易权属,房屋用途,产权所属,关注人数,发布日期,VR看装修,近地铁,随时看房,详情页,楼层高低,楼层总高度,区,街道,环线位置,居住空间,功能间,总价(万元),单价(元/平),房屋面积(平米),地址,lat,lon
宜川一村,南,简装,,平层,板楼,砖混结构,无电梯,无,2024-05-18,2001-02-01,满五年,无抵押,商品房,普通住宅,非共有,81,11个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107109765018.html,中楼层,6,普陀,甘泉宜川,内环至中环,2室0厅,1厨1卫,180.0,44325,40.61,上海市普陀甘泉宜川宜川一村,31.235988,121.422403
宜洛馨苑,南 北,精装,,平层,板楼,砖混结构,无电梯,无,2024-07-15,2007-05-10,满五年,无抵押,商品房,普通住宅,共有,29,9个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107110246398.html,低楼层,4,普陀,甘泉宜川,内环至中环,2室2厅,1厨1卫,330.0,50700,65.09,上海市普陀甘泉宜川宜洛馨苑,31.258117,121.438949
宜川三村,南,简装,,平层,板楼,砖混结构,无电梯,无,2024-06-15,2018-06-13,满五年,无抵押,商品房,普通住宅,共有,23,10个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107109992145.html,低楼层,6,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,245.0,53343,45.93,上海市普陀甘泉宜川宜川三村,31.259873,121.443961
宜川一村,南,简装,,平层,板楼,砖混结构,无电梯,无,2025-01-07,2002-01-25,满五年,无抵押,商品房,普通住宅,非共有,19,3个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107111781949.html,中楼层,5,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,288.0,48266,59.67,上海市普陀甘泉宜川宜川一村,31.235988,121.422403
宜川六村,南 北,简装,,平层,板楼,砖混结构,无电梯,无,2025-02-28,2016-04-27,满五年,无抵押,商品房,普通住宅,非共有,11,1个月以前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107112142151.html,高楼层,6,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,219.0,47057,46.54,上海市普陀甘泉宜川宜川六村,31.259009,121.440237
宜川六村,南,简装,,平层,板楼,砖混结构,无电梯,无,2023-03-31,1999-03-19,满五年,无抵押,商品房,普通住宅,非共有,25,一年前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107106819773.html,中楼层,6,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,280.0,50018,55.98,上海市普陀甘泉宜川宜川六村,31.259009,121.440237
宜川三村,东南,精装,,平层,板楼,砖混结构,无电梯,无,2024-11-08,2019-09-26,满五年,有抵押,商品房,普通住宅,非共有,15,5个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107111286998.html,高楼层,5,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,238.0,49708,47.88,上海市普陀甘泉宜川宜川三村,31.259873,121.443961
宜川六村,南,简装,,平层,板楼,砖混结构,无电梯,无,2024-09-09,2001-09-08,满五年,无抵押,商品房,普通住宅,非共有,21,7个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107110772585.html,高楼层,6,普陀,甘泉宜川,内环至中环,2室1厅,0厨1卫,290.0,46699,62.1,上海市普陀甘泉宜川宜川六村,31.259009,121.440237
和丰苑,南,精装,,平层,板楼,钢混结构,两梯六户,有,2025-01-02,2018-11-05,满五年,无抵押,动迁安置房,普通住宅,非共有,18,3个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107111739677.html,中楼层,22,普陀,甘泉宜川,中环至外环,2室1厅,1厨1卫,505.0,76043,66.41,上海市普陀甘泉宜川和丰苑,31.256012,121.44405
和丰苑,南,精装,,平层,板楼,钢混结构,两梯六户,有,2024-08-28,2019-03-12,满五年,无抵押,动迁安置房,普通住宅,非共有,29,7个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107110655435.html,高楼层,22,普陀,甘泉宜川,中环至外环,2室2厅,1厨1卫,480.0,73665,65.16,上海市普陀甘泉宜川和丰苑,31.256012,121.44405
宜川六村,南,简装,,平层,板楼,砖混结构,无电梯,无,2025-02-26,2024-08-21,未满两年,无抵押,商品房,普通住宅,共有,8,1个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107112118276.html,高楼层,6,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,279.0,46555,59.93,上海市普陀甘泉宜川宜川六村,31.259009,121.440237
和丰苑,南 北,精装,,平层,板楼,钢混结构,两梯六户,有,2025-04-24,2022-07-31,满两年,无抵押,商品房,普通住宅,共有,3,3天以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107112704659.html,中楼层,22,普陀,甘泉宜川,中环至外环,2室1厅,1厨1卫,470.0,72131,65.16,上海市普陀甘泉宜川和丰苑,31.256012,121.44405
宜川六村,南 北,精装,,平层,板楼,砖混结构,无电梯,无,2025-01-18,2020-07-18,满两年,有抵押,商品房,普通住宅,非共有,8,3个月以前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107111854540.html,中楼层,6,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,325.0,58760,55.31,上海市普陀甘泉宜川宜川六村,31.259009,121.440237
泰山三村,南 北,简装,,平层,板楼,砖混结构,无电梯,无,2025-02-26,2020-10-16,满两年,无抵押,商品房,普通住宅,非共有,5,1个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107112115069.html,低楼层,6,普陀,甘泉宜川,内环至中环,2室0厅,1厨1卫,318.0,57977,54.85,上海市普陀甘泉宜川泰山三村,31.258476,121.447699
宜川一村,南,简装,,平层,板楼,砖混结构,一梯四户,有,2024-10-16,2011-03-29,满五年,无抵押,商品房,普通住宅,共有,11,6个月以前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107111088528.html,高楼层,6,普陀,甘泉宜川,内环至中环,2室0厅,1厨1卫,206.0,49627,41.51,上海市普陀甘泉宜川宜川一村,31.235988,121.422403
和丰苑,南,精装,,平层,板楼,钢混结构,两梯六户,有,2025-03-01,2019-02-01,满五年,无抵押,动迁安置房,普通住宅,非共有,10,1个月以前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107112154586.html,低楼层,22,普陀,甘泉宜川,中环至外环,2室1厅,1厨1卫,500.0,75290,66.41,上海市普陀甘泉宜川和丰苑,31.256012,121.44405
华阴路292号,南,精装,,平层,板楼,砖混结构,无电梯,无,2025-03-02,2014-05-30,满五年,无抵押,商品房,普通住宅,非共有,7,1个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107112171581.html,中楼层,6,普陀,甘泉宜川,内环至中环,2室0厅,1厨1卫,235.0,49287,47.68,上海市普陀甘泉宜川华阴路292号,31.259018,121.441302
和丰苑,南,精装,,平层,板楼,钢混结构,两梯六户,有,2024-10-16,2019-03-06,满五年,无抵押,动迁安置房,普通住宅,非共有,43,6个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107111091332.html,低楼层,22,普陀,甘泉宜川,中环至外环,2室1厅,1厨1卫,478.0,71978,66.41,上海市普陀甘泉宜川和丰苑,31.256012,121.44405
宜川三村,南 北,简装,,平层,板楼,混合结构,无电梯,无,2024-08-19,2000-05-16,满五年,无抵押,商品房,普通住宅,非共有,48,8个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107110545154.html,中楼层,5,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,208.0,41911,49.63,上海市普陀甘泉宜川宜川三村,31.259873,121.443961
宜川华庭,南,简装,,平层,板楼,钢混结构,两梯四户,有,2025-04-06,2003-10-22,满五年,无抵押,商品房,普通住宅,共有,2,22天以前发布,VR房源,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107112529402.html,高楼层,22,普陀,甘泉宜川,内环至中环,2室2厅,1厨1卫,730.0,65173,112.01,上海市普陀甘泉宜川宜川华庭,31.259753,121.439445
龚家宅,南 北,简装,,平层,板楼,砖混结构,无电梯,无,2024-04-11,2000-08-15,满五年,无抵押,商品房,普通住宅,非共有,29,一年前发布,VR房源,近地铁,,https://sh.lianjia.com/ershoufang/107109474741.html,高楼层,6,普陀,甘泉宜川,内环内,2室1厅,1厨1卫,225.0,42638,52.77,上海市普陀甘泉宜川龚家宅,31.259873,121.443961
泰山三村,南,简装,,平层,板楼,砖混结构,无电梯,无,2024-10-10,2024-03-12,未满两年,无抵押,商品房,普通住宅,共有,3,6个月以前发布,VR看装修,近地铁,随时看房,https://sh.lianjia.com/ershoufang/107111011233.html,低楼层,6,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,310.0,65388,47.41,上海市普陀甘泉宜川泰山三村,31.258476,121.447699
泰山三村,南,简装,,平层,板楼,钢混结构,一梯五户,有,2023-04-11,2023-04-07,满两年,无抵押,商品房,普通住宅,共有,27,一年前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107106889462.html,中楼层,12,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,420.0,54089,77.65,上海市普陀甘泉宜川泰山三村,31.258476,121.447699
宜川六村,南 北,简装,,平层,板楼,钢混结构,无电梯,无,2024-05-12,2021-10-25,满两年,无抵押,商品房,普通住宅,非共有,148,11个月以前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107109716745.html,高楼层,7,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,209.0,35340,59.14,上海市普陀甘泉宜川宜川六村,31.259009,121.440237
泰山三村,南,简装,,平层,板楼,砖混结构,无电梯,无,2023-01-02,2013-11-08,满五年,有抵押,商品房,普通住宅,非共有,31,一年前发布,VR看装修,近地铁,,https://sh.lianjia.com/ershoufang/107106285890.html,高楼层,6,普陀,甘泉宜川,内环至中环,2室1厅,1厨1卫,223.0,45951,48.53,上海市普陀甘泉宜川泰山三村,31.258476,121.447699
